[2025-12-07 21:07:36] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:36] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:36] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:36] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:36] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:37] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:37] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:37] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:37] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:37] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:39] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:42] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:45] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:48] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:48] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:48] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:07:49] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
